"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","In the original they did let the 4400 go home and it was so depressing seeing them return to nothing 🥺 Lordt im so… https://t.co/82xclDk3m1",FALSE,0,NA,2021-10-26 02:05:46,TRUE,NA,"1452818705746903049",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","LovelyMilian",0,FALSE,FALSE,NA,NA
"2","Looking forward to presenting at the coastal wetlands twitter conference #CWTC21 @globalwetlands #mangrove #マングローブ… https://t.co/6PBpVb89cf",FALSE,1,NA,2021-10-26 01:10:48,TRUE,NA,"1452804875599814662",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","haradaoceans",0,FALSE,FALSE,NA,NA
"3","I’m looking forward to sharing some perspectives on managing mosquito risks associated with coastal #wetlands at… https://t.co/jND1T3KXti",FALSE,7,NA,2021-10-25 22:11:26,TRUE,NA,"1452759733580931088",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Mozziebites",2,FALSE,FALSE,NA,NA
"4","Join @Mangroves on Tue 26 Oct at 9.30am BST / 18.30pm AEST, part of #CWTC21! https://t.co/imQm5AgW03",FALSE,4,NA,2021-10-25 21:56:02,FALSE,NA,"1452755859033845761",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","globalwetlands",2,FALSE,FALSE,NA,NA
"5","Follow live on the GLOW Twitter page @globalwetlands  or by searching #CWTC21. Program: https://t.co/KUBCCM19pA https://t.co/JrkaWU3wMc",FALSE,2,NA,2021-10-25 20:44:12,FALSE,NA,"1452737784226091009",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","SieversSci",1,FALSE,FALSE,NA,NA
"6","📣Tomorrow!📣 

We are joining @globalwetlands #CWTC21 to present a new tool that tracks #mangroves restoration globa… https://t.co/cCv3AIU3en",FALSE,15,NA,2021-10-25 20:43:06,TRUE,NA,"1452737506856873990",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Mangroves",4,FALSE,FALSE,NA,NA
"7","One day to go until Session 2 #CWTC21! Hear about all things #mangroves #seagrass #saltmarsh at the Coastal Wetland… https://t.co/yDS5WNheRA",FALSE,3,NA,2021-10-25 20:00:01,TRUE,NA,"1452726662227968003",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","globalwetlands",1,FALSE,FALSE,NA,NA
"8","@hkmorrissette @Mangroves Find out more from Hannah at the @globalwetlands Twitter conference tomorrow at 10:50am EST. #CWTC21",FALSE,0,"hkmorrissette",2021-10-25 18:37:55,FALSE,"1452704692992200705","1452705999920504834","3377771218","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","canty_steven",0,FALSE,FALSE,NA,NA
"9","You can find out more about the #BelizeBlueCarbon project at the @globalwetlands Twitter Conference. #CWTC21",FALSE,1,"canty_steven",2021-10-25 18:32:49,FALSE,"1452692548452028424","1452704719642710022","4149145885","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","canty_steven",0,FALSE,FALSE,NA,NA
"10","Excited for this keynote presentation on #seagrass ecosystem services!  #CWTC21 https://t.co/AdhfKlXAv9",FALSE,0,NA,2021-10-25 17:51:34,FALSE,NA,"1452694338786504705",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","JStiepani",0,FALSE,FALSE,NA,NA
"11","Twitter conference on Coastal Wetlands coming up 26/10 &amp; 27/10. Follow live on Global Wetlands Twitter page:… https://t.co/NtylJJG0ZV",FALSE,17,NA,2021-10-25 17:39:22,TRUE,NA,"1452691265959649284",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ResearchLina",3,FALSE,FALSE,NA,NA
"12","What an enjoyable game of cricket it was #AFGvSCO #CWC2021 #CWTC21",FALSE,0,NA,2021-10-25 16:58:35,FALSE,NA,"1452681005140226059",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","iamahmaddin",0,FALSE,FALSE,NA,NA
"13","I'll be tweeting on coastal habitat creation in the UK at #CWTC21 tomorrow morning. Making the case, setting the ch… https://t.co/8otno75fuf",FALSE,10,NA,2021-10-25 13:05:40,TRUE,NA,"1452622389607600134",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","jamesthetyke",4,FALSE,FALSE,NA,NA
"14","interesting conference held all on Twitter tomorrow on coastal wetlands! #Cwtc21 https://t.co/TKnjf9nIAQ",FALSE,0,NA,2021-10-25 11:05:45,FALSE,NA,"1452592212328525829",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","JStiepani",0,FALSE,FALSE,NA,NA
"15","Hello #CWTC21! I’m Tom, @t_a_worthington, a conservation ecologist researching mangrove ecosystems. I am taking ove… https://t.co/HMP4CasLFX",FALSE,17,NA,2021-10-25 09:30:47,TRUE,NA,"1452568311124959239",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","T_A_Worthington",5,FALSE,FALSE,NA,NA
"16","I like #Kohli for his sportsman spirit although Pakistan won the match but #Kohli won our heart.
#Mauka_Mauka… https://t.co/64HzvrZJrS",FALSE,0,NA,2021-10-25 08:34:54,TRUE,NA,"1452554249766846467",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","waqas_ahmeds_",0,FALSE,FALSE,NA,NA
"17","How do I follow the Coastal Wetlands Twitter Conference? During #CWTC21 you can:
▶️Visit @globalwetlands where a Tw… https://t.co/u2oCR4a8Ju",FALSE,6,NA,2021-10-25 08:30:00,TRUE,NA,"1452553016339415041",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","globalwetlands",6,FALSE,FALSE,NA,NA
"18","Where are #opportunities for effective #coastal #wetland #conservation?

🚨Spoiler🚨 - they’re everywhere 

Find out… https://t.co/6DluYurQCF",FALSE,10,NA,2021-10-25 08:00:19,TRUE,NA,"1452545545243807749",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","ChristinABuelow",4,FALSE,FALSE,NA,NA
"19","🚨One day to go! Join the Coastal Wetlands Twitter Conference &amp; like, comment, re-tweet with over 40 presenters. Che… https://t.co/5UJIvb6Fxd",FALSE,9,NA,2021-10-25 08:00:02,TRUE,NA,"1452545472304930820",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","globalwetlands",4,FALSE,FALSE,NA,NA
"20","Don t miss the chance to learn about  coastal wetlands during #CWTC21
@globalwetlands
I ll present a way to assess… https://t.co/Q8vrHndGYc",FALSE,2,NA,2021-10-25 01:08:04,TRUE,NA,"1452441799239159809",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RLosciale",0,FALSE,FALSE,NA,NA
"21","Looking forward to share my research on indicators of coastal wetlands restoration success during the #CWTC21 twitt… https://t.co/BYdTT4ryJ7",FALSE,13,NA,2021-10-25 00:46:59,TRUE,NA,"1452436494866468866",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","charles_cadier",3,FALSE,FALSE,NA,NA
"22","Looking forward to the #CWTC21 . Will be discussing the links between habitat quality and ecosystem services. Check… https://t.co/hQgs43TVK5",FALSE,3,NA,2021-10-24 17:41:20,TRUE,NA,"1452329375614001172",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","AnushaRajkaran",2,FALSE,FALSE,NA,NA
"23","Pakistan you beauty ! 🇵🇰🇵🇰🇵🇰
#ThaukaThauka #PakvsIndia  #CWTC21  #MaukaMauka  #ICCT20WorldCup2021",FALSE,1,NA,2021-10-24 17:40:37,FALSE,NA,"1452329192914309131",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","HaiArrham",0,FALSE,FALSE,NA,NA
"24","Today the entire world knows the class of @babarazam258 and @iMRizwanPak 
#CWTC21 #IndvsPak",FALSE,0,NA,2021-10-24 17:36:08,FALSE,NA,"1452328064411701266",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","drhasnainkhosa",0,FALSE,FALSE,NA,NA
"25","I could not accept the defeat of Bangladesh. The victory of Pakistan brought relief to my mind.… https://t.co/41DjKeAKeV",FALSE,0,NA,2021-10-24 17:29:32,TRUE,NA,"1452326405275009032",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","NajmulH27700205",0,FALSE,FALSE,NA,NA
