"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @T_A_Worthington: Mangrove forests sequester disproportionally large amounts of CO2 &amp; thus there is considerable interest in restoration…",FALSE,0,NA,2021-10-27 23:40:44,FALSE,NA,"1453506984033112069",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","TWA_Mangrove",19,TRUE,FALSE,NA,NA
"2","RT @CexyNature: Species diversity, their functional attributes &amp; traits underpins ecosystem functioning. However, we often assess ecosystem…",FALSE,0,NA,2021-10-27 23:38:13,FALSE,NA,"1453506351829864449",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","OliviaBlondheim",12,TRUE,FALSE,NA,NA
"3","RT @cbdelosantos: [3/5] We found that 5⃣0⃣% of seagrass sites showed a declining trajectory and that 1⃣/3⃣of European seagrass area was los…",FALSE,0,NA,2021-10-27 23:23:00,FALSE,NA,"1453502522694545416",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","BarbaneraAda",6,TRUE,FALSE,NA,NA
"4","RT @bluecology: Coastal wetlands don’t get enough attention in the international policy arena – think #SGDs #CBD – but why? 

We looked at…",FALSE,0,NA,2021-10-27 23:20:02,FALSE,NA,"1453501775739117575",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","WorldInPlainEng",20,TRUE,FALSE,NA,NA
"5","RT @sophkaterussell: Saltmarsh &amp; Mangrove ecosystems are important #NatureBasedSolutions to #ClimateChange, removing carbon from the enviro…",FALSE,0,NA,2021-10-27 23:12:24,FALSE,NA,"1453499854785638402",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","mat_taby",18,TRUE,FALSE,NA,NA
"6","RT @ConnollyLab: Automation has disrupted other industries🚨 It’s coming late to #environmentalscience but now it’s here: 
https://t.co/hAZz…",FALSE,0,NA,2021-10-27 23:11:37,FALSE,NA,"1453499657523535875",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Vsipunculido",25,TRUE,FALSE,NA,NA
"7","RT @CexyNature: Species diversity, their functional attributes &amp; traits underpins ecosystem functioning. However, we often assess ecosystem…",FALSE,0,NA,2021-10-27 23:06:00,FALSE,NA,"1453498241304170504",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","solange700",12,TRUE,FALSE,NA,NA
"8","RT @ChristinABuelow: And that’s a wrap! #CWTC21 

What and incredible body of #coastal #wetland research

Scroll through and review your fa…",FALSE,0,NA,2021-10-27 23:02:21,FALSE,NA,"1453497323116539907",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MangroveTracker",3,TRUE,FALSE,NA,NA
"9","RT @T_A_Worthington: Mangrove forests sequester disproportionally large amounts of CO2 &amp; thus there is considerable interest in restoration…",FALSE,0,NA,2021-10-27 22:51:37,FALSE,NA,"1453494621338681350",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","japhybradley",19,TRUE,FALSE,NA,NA
"10","@EvergladesNPS Thanks for educational thread! 😃

Also learned a lot about bats 🦇 &amp; the Wetlands 🌊 of the world 🌍 fr… https://t.co/mP11u0qCcR",FALSE,1,"EvergladesNPS",2021-10-27 22:45:48,TRUE,"1453401678934315008","1453493161230315521","63966574","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MangroveTracker",1,FALSE,FALSE,NA,NA
