"Date","Tweets published","impressions","engagements","engagement rate","retweets","replies","likes","user profile clicks","url clicks","hashtag clicks","detail expands","permalink clicks","app opens","app installs","follows","email tweet","dial phone","media views","media engagements","promoted impressions","promoted engagements","promoted engagement rate","promoted retweets","promoted replies","promoted likes","promoted user profile clicks","promoted url clicks","promoted hashtag clicks","promoted detail expands","promoted permalink clicks","promoted app opens","promoted app installs","promoted follows","promoted email tweet","promoted dial phone","promoted media views","promoted media engagements"
"2021-10-01","1","1079","35","0.03243744207599629","3","0","0","8","11","1","11","0","0","0","0","0","0","6","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-10-02","0","306","9","0.029411764705882353","1","0","0","1","3","0","4","0","0","0","0","0","0","2","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-10-03","0","302","19","0.06291390728476821","0","0","1","3","3","0","11","0","0","0","0","0","0","1","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-10-04","0","398","7","0.017587939698492462","3","0","0","0","0","0","2","0","0","0","0","0","0","4","2","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-10-05","0","243","2","0.00823045267489712","0","0","0","0","2","0","0","0","0","0","0","0","0","5","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-10-06","2","1480","69","0.046621621621621624","9","0","9","9","13","0","16","0","0","0","0","0","0","14","13","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-10-07","0","736","46","0.0625","2","0","4","14","6","2","14","0","0","0","0","0","0","6","4","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-10-08","0","354","6","0.01694915254237288","1","0","2","0","1","0","2","0","0","0","0","0","0","2","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-10-09","0","142","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-10-10","0","174","7","0.040229885057471264","1","0","0","2","0","0","3","0","0","0","0","0","0","4","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-10-11","0","124","6","0.04838709677419355","1","0","1","2","1","0","0","0","0","0","0","0","0","2","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-10-12","1","1281","84","0.06557377049180328","5","0","11","8","29","1","27","0","0","0","0","0","0","10","3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-10-13","0","615","20","0.032520325203252036","3","0","4","2","6","0","5","0","0","0","0","0","0","17","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-10-14","0","535","18","0.03364485981308411","4","0","5","2","4","0","3","0","0","0","0","0","0","4","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-10-15","0","326","7","0.02147239263803681","1","0","0","1","4","0","0","0","0","0","0","0","0","8","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-10-16","0","299","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
