"Date","Tweets published","impressions","engagements","engagement rate","retweets","replies","likes","user profile clicks","url clicks","hashtag clicks","detail expands","permalink clicks","app opens","app installs","follows","email tweet","dial phone","media views","media engagements","promoted impressions","promoted engagements","promoted engagement rate","promoted retweets","promoted replies","promoted likes","promoted user profile clicks","promoted url clicks","promoted hashtag clicks","promoted detail expands","promoted permalink clicks","promoted app opens","promoted app installs","promoted follows","promoted email tweet","promoted dial phone","promoted media views","promoted media engagements"
"2021-09-01","2","1987","214","0.10770005032712632","12","2","39","18","24","0","104","0","0","0","0","0","0","424","15","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-09-02","0","507","42","0.08284023668639054","3","0","4","6","1","0","25","0","0","0","0","0","0","115","3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-09-03","6","907","110","0.12127894156560089","2","5","15","13","11","0","48","0","0","0","0","0","0","55","16","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-09-04","0","632","65","0.10284810126582279","7","0","9","8","9","0","26","0","0","0","0","0","0","24","6","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-09-05","0","397","36","0.0906801007556675","3","0","5","10","7","1","8","0","0","0","0","0","0","18","2","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-09-06","0","609","22","0.0361247947454844","0","0","0","8","3","0","9","0","0","0","0","0","0","54","2","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-09-07","0","525","44","0.0838095238095238","3","0","3","6","12","0","18","0","0","0","0","0","0","13","2","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-09-08","0","154","2","0.012987012987012988","0","0","0","2","0","0","0","0","0","0","0","0","0","13","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-09-09","0","219","6","0.0273972602739726","0","0","1","4","1","0","0","0","0","0","0","0","0","10","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-09-10","1","709","82","0.1156558533145275","5","0","8","9","22","3","26","0","0","0","0","0","0","19","9","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-09-11","0","338","44","0.1301775147928994","1","0","2","5","5","0","26","0","0","0","0","0","0","10","5","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-09-12","0","216","9","0.041666666666666664","0","0","2","2","0","0","1","0","0","0","0","0","0","10","4","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-09-13","2","596","39","0.06543624161073826","3","0","5","10","8","1","10","0","0","0","0","0","0","7","2","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-09-14","2","2506","137","0.05466879489225858","17","0","14","15","26","1","49","0","0","0","0","0","0","18","15","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-09-15","0","1525","94","0.06163934426229508","9","0","11","14","14","2","30","0","0","0","0","0","0","20","14","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-09-16","1","880","37","0.042045454545454546","3","0","8","0","7","0","17","0","0","0","0","0","0","7","2","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-09-17","1","1066","19","0.017823639774859287","0","0","2","5","3","0","7","0","0","0","0","0","0","7","2","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-09-18","0","524","24","0.04580152671755725","0","0","3","1","5","0","12","0","0","0","0","0","0","7","3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-09-19","0","264","12","0.045454545454545456","0","0","0","1","0","0","10","0","0","0","0","0","0","3","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-09-20","2","942","33","0.03503184713375796","4","0","4","5","8","0","10","0","0","0","0","0","0","6","2","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-09-21","1","1777","70","0.03939223410241981","7","0","10","14","11","0","24","0","0","0","0","0","0","51","4","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-09-22","1","669","21","0.03139013452914798","2","0","2","4","5","2","3","0","0","0","0","0","0","23","3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-09-23","0","376","33","0.08776595744680851","0","0","1","5","14","0","6","0","0","0","0","0","0","24","7","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-09-24","2","2546","145","0.05695208169677926","15","0","32","12","37","1","30","0","0","0","0","0","0","28","18","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-09-25","0","4356","92","0.021120293847566574","6","0","9","6","18","0","37","0","0","0","0","0","0","17","16","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-09-26","0","668","24","0.03592814371257485","2","0","3","1","8","0","5","0","0","0","0","0","0","9","5","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-09-27","2","882","45","0.05102040816326531","7","0","10","5","12","0","4","0","0","0","0","0","0","17","7","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-09-28","3","2451","88","0.03590371277029784","12","0","8","7","32","1","17","0","0","0","0","0","0","20","11","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-09-29","1","3124","99","0.03169014084507042","9","0","19","6","19","4","31","0","0","0","0","0","0","15","11","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-09-30","1","932","41","0.043991416309012876","4","0","8","5","8","2","7","0","0","0","0","0","0","10","7","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
